No;SI_card;Wd;Punch;
1;232809;2016. 10. 02.;08:20:37,937;
2;232809;2016. 10. 02.;08:21:25,660;
3;2009107;2016. 10. 02.;10:59:05,304;
4;222911;2016. 10. 02.;10:59:19,726;
5;1396218;2016. 10. 02.;10:59:54,699;
6;2009108;2016. 10. 02.;11:04:01,382;
7;45162;2016. 10. 02.;11:06:02,718;
8;2009130;2016. 10. 02.;11:06:05,765;
9;2009131;2016. 10. 02.;11:07:21,136;
10;2056188;2016. 10. 02.;11:09:44,375;
11;2009120;2016. 10. 02.;11:10:06,312;
12;1401007;2016. 10. 02.;11:16:49,414;
13;2009113;2016. 10. 02.;11:18:46,867;
14;1401009;2016. 10. 02.;11:35:10,535;
15;1401002;2016. 10. 02.;11:37:35,058;
16;1401004;2016. 10. 02.;11:37:38,523;
17;363401;2016. 10. 02.;11:47:52,132;
18;1396292;2016. 10. 02.;11:49:44,085;
19;222907;2016. 10. 02.;11:52:13,691;
20;45378;2016. 10. 02.;11:52:15,656;
21;1401010;2016. 10. 02.;11:54:27,453;